chunk_size,chunk_number,reading_time,filtering_time,writing_time
10000,1,1.1607873439788818,0.07814955711364746,0.05685687065124512
10000,2,0.10500431060791016,0.09310054779052734,0.04700207710266113
10000,3,0.06800532341003418,0.07800602912902832,0.0500028133392334
10000,4,0.07709980010986328,0.08708643913269043,0.04900336265563965
10000,5,0.11301040649414062,0.07800555229187012,0.053006649017333984
10000,6,0.08100485801696777,0.10000801086425781,0.057003021240234375
10000,7,0.07008624076843262,0.08200907707214355,0.05200338363647461
10000,8,0.1260073184967041,0.12245583534240723,0.056005001068115234
10000,9,0.11801290512084961,0.08300614356994629,0.04900383949279785
10000,10,0.05600166320800781,0.0890960693359375,0.06400609016418457
10000,11,0.11000537872314453,0.08100605010986328,0.04900622367858887
10000,12,0.09100699424743652,0.08848333358764648,0.0700063705444336
10000,13,0.11245393753051758,0.08003878593444824,0.04816007614135742
10000,14,0.13000774383544922,0.08704376220703125,0.05954790115356445
10000,15,0.11810111999511719,0.07832908630371094,0.04890131950378418
10000,16,0.052000999450683594,0.09127020835876465,0.055002450942993164
10000,17,0.1200108528137207,0.09001016616821289,0.04992246627807617
10000,18,0.10648512840270996,0.08121085166931152,0.051409006118774414
10000,19,0.06500911712646484,0.0788278579711914,0.05535697937011719
10000,20,0.11607027053833008,0.08435416221618652,0.05182504653930664
10000,21,0.1251685619354248,0.08267378807067871,0.04764723777770996
10000,22,0.04554891586303711,0.07762432098388672,0.05070352554321289
10000,23,0.13260483741760254,0.08861112594604492,0.052004337310791016
10000,24,0.11727166175842285,0.07700467109680176,0.05400514602661133
10000,25,0.06600236892700195,0.09949278831481934,0.05122017860412598
10000,26,0.0740499496459961,0.08564519882202148,0.06119894981384277
10000,27,0.14308810234069824,0.09000921249389648,0.06000375747680664
10000,28,0.1072392463684082,0.0900125503540039,0.05100059509277344
10000,29,0.05935811996459961,0.09600710868835449,0.04818987846374512
10000,30,0.09635686874389648,0.10797500610351562,0.05200815200805664
10000,31,0.11750292778015137,0.08800673484802246,0.04818153381347656
10000,32,0.1437077522277832,0.10100650787353516,0.05089378356933594
10000,33,0.0976095199584961,0.08500838279724121,0.058001041412353516
10000,34,0.0510098934173584,0.0840139389038086,0.04447531700134277
10000,35,0.10500574111938477,0.08900809288024902,0.052016258239746094
10000,36,0.13814163208007812,0.0960090160369873,0.06752395629882812
10000,37,0.02803945541381836,0.08700323104858398,0.05192160606384277
10000,38,0.13596057891845703,0.0830078125,0.0507204532623291
10000,39,0.0920710563659668,0.08000922203063965,0.0500030517578125
10000,40,0.0570073127746582,0.09804892539978027,0.03900313377380371
10000,41,0.13600730895996094,0.09386682510375977,0.0495905876159668
10000,42,0.1110067367553711,0.08000516891479492,0.05086207389831543
10000,43,0.04800987243652344,0.09505724906921387,0.051023244857788086
10000,44,0.15315723419189453,0.08000540733337402,0.06100606918334961
10000,45,0.12101149559020996,0.08600497245788574,0.054004669189453125
10000,46,0.1081850528717041,0.09300637245178223,0.05400538444519043
10000,47,0.0500035285949707,0.09700632095336914,0.054548025131225586
10000,48,0.11789584159851074,0.08400440216064453,0.04900979995727539
10000,49,0.0723567008972168,0.08700728416442871,0.06941366195678711
10000,50,0.11148834228515625,0.08200836181640625,0.07900834083557129
